subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
102,1,11,0.1078,0.3597,-0.1054,0.1054,0.4197,-0.134,0.134,0.1514,-0.1268,0.1268,1.4405,-0.1623,0.1623,0.7572,-0.1388,0.1388,0.7839,-0.151,0.151,0.422,-0.1417,0.1417,0.3961,-0.1182,0.1182,0.3549,-0.1334,0.1334,0.8913,-0.0897,0.0897
102,1,12,0.1283,0.5128,-0.1506,0.1506,0.7132,-0.1384,0.1384,0.2414,-0.1487,0.1487,0.9177,-0.1597,0.1597,0.9928,-0.1204,0.1204,0.6933,-0.1326,0.1326,0.4178,-0.1303,0.1303,1.6038,-0.1478,0.1478,0.4268,-0.1508,0.1508,0.4031,-0.1774,0.1774
102,1,13,0.1175,0.3645,-0.092,0.092,0.3589,-0.1332,0.1332,0.1645,-0.106,0.106,1.1114,-0.1176,0.1176,-14.0327,-15.039,15.039,1.7933,-0.121,0.121,0.3513,-0.1143,0.1143,0.4454,-0.1123,0.1123,0.406,-0.1004,0.1004,1.3733,-0.119,0.119
102,1,14,0.1353,1.1244,-0.1106,0.1106,0.4348,-0.1301,0.1301,0.2106,-0.1326,0.1326,1.0971,-0.1995,0.1995,1.719,-0.1552,0.1552,1.0575,-0.1437,0.1437,0.5467,-0.102,0.102,1.2221,-0.1201,0.1201,0.4232,-0.0926,0.0926,0.3308,-0.113,0.113
102,1,15,0.2197,2.3983,-0.2301,0.2301,0.2635,-0.1736,0.1736,0.3009,-0.1315,0.1315,1.7212,-0.1335,0.1335,0.7813,-0.1459,0.1459,1.5853,-0.1262,0.1262,0.2669,-0.1486,0.1486,0.4855,-0.1157,0.1157,0.3997,-0.1232,0.1232,1.296,-0.1254,0.1254
102,1,16,0.1988,0.4234,-0.1213,0.1213,0.2042,-0.1293,0.1293,0.2583,-0.1412,0.1412,1.7645,-0.1446,0.1446,1.1331,-0.1736,0.1736,2.3886,-0.1179,0.1179,0.6083,-0.1485,0.1485,0.586,-0.105,0.105,0.3976,-0.0997,0.0997,0.9708,-0.1036,0.1036
102,1,17,0.1251,0.3428,-0.1153,0.1153,0.4031,-0.1323,0.1323,0.1673,-0.1543,0.1543,1.7404,-0.1129,0.1129,0.5507,-0.1535,0.1535,1.2691,-0.1529,0.1529,0.8538,-0.1528,0.1528,0.3938,-0.1227,0.1227,0.3837,-0.1086,0.1086,0.3477,-0.1308,0.1308
102,1,18,0.1339,0.469,-0.1188,0.1188,0.1742,-0.1549,0.1549,0.2162,-0.1231,0.1231,1.5056,-0.1862,0.1862,1.7192,-0.1419,0.1419,1.5603,-0.1175,0.1175,0.3508,-0.1376,0.1376,0.4794,-0.0935,0.0935,0.3616,-0.1231,0.1231,0.9746,-0.1314,0.1314
102,1,19,0.165,0.9075,-0.1386,0.1386,0.1623,-0.1335,0.1335,0.3036,-0.1259,0.1259,1.2988,-0.1794,0.1794,0.9703,-0.1466,0.1466,0.7163,-0.1338,0.1338,0.3848,-0.1512,0.1512,0.3557,-0.1122,0.1122,0.3818,-0.1161,0.1161,0.98,-0.1463,0.1463
102,1,20,0.1533,0.7293,-0.1174,0.1174,0.4476,-0.1435,0.1435,0.4539,-0.1429,0.1429,0.6747,-0.1481,0.1481,0.6871,-0.1458,0.1458,0.8712,-0.1126,0.1126,0.5528,-0.1406,0.1406,0.5053,-0.1126,0.1126,0.5492,-0.1566,0.1566,0.9885,-0.0903,0.0903
